fold,seed,detector,alpha,method,order,coverage,nominal,cov_gap,tpr,tnr,bal_acc,det_time,n_detected
0,0,SAFE-MLP,0.1,split CP (SAFE),exch,0.8125,0.9,-0.08750000000000002,0.5409836065573771,0.8125,0.6767418032786885,0.3503030303030303,33
0,0,SAFE-MLP,0.1,ACI g=0.05 (grow cal),exch,0.875,0.9,-0.025000000000000022,0.5245901639344263,0.875,0.6997950819672132,0.5393749999999999,32
0,0,SAFE-MLP,0.1,split CP (SAFE),blocked,0.7717391304347826,0.9,-0.12826086956521743,0.43119266055045874,0.7717391304347826,0.6014658954926206,0.28765957446808504,47
0,0,SAFE-MLP,0.1,ACI g=0.05 (grow cal),blocked,0.8913043478260869,0.9,-0.008695652173913104,0.44954128440366975,0.8913043478260869,0.6704228161148783,0.5787755102040816,49
0,0,SAFE-MLP,0.15,split CP (SAFE),exch,0.8125,0.85,-0.03749999999999998,0.819672131147541,0.8125,0.8160860655737705,0.446,50
0,0,SAFE-MLP,0.15,ACI g=0.05 (grow cal),exch,0.75,0.85,-0.09999999999999998,0.7049180327868853,0.75,0.7274590163934427,0.5841860465116279,43
0,0,SAFE-MLP,0.15,split CP (SAFE),blocked,0.7065217391304348,0.85,-0.14347826086956517,0.6330275229357798,0.7065217391304348,0.6697746310331073,0.4055072463768116,69
0,0,SAFE-MLP,0.15,ACI g=0.05 (grow cal),blocked,0.8369565217391304,0.85,-0.013043478260869601,0.5871559633027523,0.8369565217391304,0.7120562425209414,0.5796874999999999,64
0,0,SAFE-MLP,0.2,split CP (SAFE),exch,0.6875,0.8,-0.11250000000000004,0.819672131147541,0.6875,0.7535860655737705,0.43920000000000003,50
0,0,SAFE-MLP,0.2,ACI g=0.05 (grow cal),exch,0.6875,0.8,-0.11250000000000004,0.8032786885245902,0.6875,0.7453893442622951,0.4808163265306123,49
0,0,SAFE-MLP,0.2,split CP (SAFE),blocked,0.6956521739130435,0.8,-0.10434782608695659,0.6330275229357798,0.6956521739130435,0.6643398484244116,0.3944927536231885,69
0,0,SAFE-MLP,0.2,ACI g=0.05 (grow cal),blocked,0.782608695652174,0.8,-0.017391304347826098,0.6146788990825688,0.782608695652174,0.6986437973673714,0.5782089552238805,67
0,0,SAFE-MLP,0.25,split CP (SAFE),exch,0.75,0.75,0.0,0.5737704918032787,0.75,0.6618852459016393,0.3091428571428571,35
0,0,SAFE-MLP,0.25,ACI g=0.05 (grow cal),exch,0.75,0.75,0.0,0.5901639344262295,0.75,0.6700819672131147,0.31666666666666665,36
0,0,SAFE-MLP,0.25,split CP (SAFE),blocked,0.6847826086956521,0.75,-0.0652173913043479,0.44954128440366975,0.6847826086956521,0.5671619465496609,0.2179591836734694,49
0,0,SAFE-MLP,0.25,ACI g=0.05 (grow cal),blocked,0.7173913043478262,0.75,-0.032608695652173836,0.5321100917431193,0.7173913043478262,0.6247506980454727,0.3906896551724138,58
0,0,SAFE-MLP [task-rel],0.1,split CP (SAFE),exch,0.9375,0.9,0.03749999999999998,0.11475409836065574,0.9375,0.5261270491803278,0.2342857142857143,7
0,0,SAFE-MLP [task-rel],0.1,ACI g=0.05 (grow cal),exch,0.9375,0.9,0.03749999999999998,0.11475409836065574,0.9375,0.5261270491803278,0.2342857142857143,7
0,0,SAFE-MLP [task-rel],0.1,split CP (SAFE),blocked,0.9347826086956522,0.9,0.034782608695652195,0.045871559633027525,0.9347826086956522,0.4903270841643399,0.2,5
0,0,SAFE-MLP [task-rel],0.1,ACI g=0.05 (grow cal),blocked,0.9130434782608696,0.9,0.013043478260869601,0.09174311926605505,0.9130434782608696,0.5023932987634623,0.14000000000000004,10
0,0,SAFE-MLP [task-rel],0.15,split CP (SAFE),exch,0.9375,0.85,0.08750000000000002,0.21311475409836064,0.9375,0.5753073770491803,0.5015384615384615,13
0,0,SAFE-MLP [task-rel],0.15,ACI g=0.05 (grow cal),exch,0.875,0.85,0.025000000000000022,0.21311475409836064,0.875,0.5440573770491803,0.49692307692307686,13
0,0,SAFE-MLP [task-rel],0.15,split CP (SAFE),blocked,0.9347826086956522,0.85,0.08478260869565224,0.09174311926605505,0.9347826086956522,0.5132628639808536,0.372,10
0,0,SAFE-MLP [task-rel],0.15,ACI g=0.05 (grow cal),blocked,0.8695652173913043,0.85,0.019565217391304346,0.1834862385321101,0.8695652173913043,0.5265257279617073,0.22200000000000003,20
0,0,SAFE-MLP [task-rel],0.2,split CP (SAFE),exch,0.8125,0.8,0.012499999999999956,0.21311475409836064,0.8125,0.5128073770491803,0.48923076923076925,13
0,0,SAFE-MLP [task-rel],0.2,ACI g=0.05 (grow cal),exch,0.8125,0.8,0.012499999999999956,0.21311475409836064,0.8125,0.5128073770491803,0.4738461538461538,13
0,0,SAFE-MLP [task-rel],0.2,split CP (SAFE),blocked,0.9347826086956522,0.8,0.13478260869565217,0.11009174311926606,0.9347826086956522,0.5224371759074591,0.32,12
0,0,SAFE-MLP [task-rel],0.2,ACI g=0.05 (grow cal),blocked,0.8260869565217391,0.8,0.02608695652173909,0.22018348623853212,0.8260869565217391,0.5231352213801357,0.22583333333333333,24
0,0,SAFE-MLP [task-rel],0.25,split CP (SAFE),exch,0.8125,0.75,0.0625,0.29508196721311475,0.8125,0.5537909836065573,0.5955555555555556,18
0,0,SAFE-MLP [task-rel],0.25,ACI g=0.05 (grow cal),exch,0.8125,0.75,0.0625,0.3442622950819672,0.8125,0.5783811475409836,0.519047619047619,21
0,0,SAFE-MLP [task-rel],0.25,split CP (SAFE),blocked,0.8695652173913043,0.75,0.11956521739130432,0.1559633027522936,0.8695652173913043,0.512764260071799,0.3941176470588235,17
0,0,SAFE-MLP [task-rel],0.25,ACI g=0.05 (grow cal),blocked,0.7717391304347826,0.75,0.021739130434782594,0.27522935779816515,0.7717391304347826,0.5234842441164739,0.2273333333333333,30
0,0,H&S,0.1,split CP (SAFE),exch,0.6875,0.9,-0.21250000000000002,0.45901639344262296,0.6875,0.5732581967213115,0.5871428571428573,28
0,0,H&S,0.1,ACI g=0.05 (grow cal),exch,0.8125,0.9,-0.08750000000000002,0.3114754098360656,0.8125,0.5619877049180328,0.5,19
0,0,H&S,0.1,split CP (SAFE),blocked,0.8804347826086957,0.9,-0.019565217391304346,0.5045871559633027,0.8804347826086957,0.6925109692859992,0.7403636363636363,55
0,0,H&S,0.1,ACI g=0.05 (grow cal),blocked,0.8804347826086957,0.9,-0.019565217391304346,0.3577981651376147,0.8804347826086957,0.6191164738731552,0.7394871794871796,39
0,0,H&S,0.15,split CP (SAFE),exch,0.5625,0.85,-0.2875,0.4918032786885246,0.5625,0.5271516393442623,0.5846666666666668,30
0,0,H&S,0.15,ACI g=0.05 (grow cal),exch,0.75,0.85,-0.09999999999999998,0.4098360655737705,0.75,0.5799180327868853,0.5472,25
0,0,H&S,0.15,split CP (SAFE),blocked,0.8260869565217391,0.85,-0.023913043478260843,0.5412844036697247,0.8260869565217391,0.6836856800957319,0.6627118644067796,59
0,0,H&S,0.15,ACI g=0.05 (grow cal),blocked,0.8478260869565217,0.85,-0.0021739130434782483,0.5412844036697247,0.8478260869565217,0.6945552453131232,0.6742372881355932,59
0,0,H&S,0.2,split CP (SAFE),exch,0.5,0.8,-0.30000000000000004,0.6557377049180327,0.5,0.5778688524590163,0.5130000000000001,40
0,0,H&S,0.2,ACI g=0.05 (grow cal),exch,0.625,0.8,-0.17500000000000004,0.4918032786885246,0.625,0.5584016393442623,0.4780000000000001,30
0,0,H&S,0.2,split CP (SAFE),blocked,0.46739130434782605,0.8,-0.332608695652174,0.7247706422018348,0.46739130434782605,0.5960809732748305,0.56,79
0,0,H&S,0.2,ACI g=0.05 (grow cal),blocked,0.782608695652174,0.8,-0.017391304347826098,0.5688073394495413,0.782608695652174,0.6757080175508576,0.6577419354838709,62
0,0,H&S,0.25,split CP (SAFE),exch,0.5,0.75,-0.25,0.7868852459016393,0.5,0.6434426229508197,0.4991666666666667,48
0,0,H&S,0.25,ACI g=0.05 (grow cal),exch,0.5625,0.75,-0.1875,0.5573770491803278,0.5625,0.5599385245901639,0.4982352941176471,34
0,0,H&S,0.25,split CP (SAFE),blocked,0.3152173913043478,0.75,-0.4347826086956522,0.7889908256880734,0.3152173913043478,0.5521041084962106,0.5116279069767442,86
0,0,H&S,0.25,ACI g=0.05 (grow cal),blocked,0.7391304347826086,0.75,-0.010869565217391353,0.5963302752293578,0.7391304347826086,0.6677303550059832,0.6723076923076923,65
0,0,H&S [task-rel],0.1,split CP (SAFE),exch,0.625,0.9,-0.275,0.21311475409836064,0.625,0.41905737704918034,0.08307692307692308,13
0,0,H&S [task-rel],0.1,ACI g=0.05 (grow cal),exch,0.8125,0.9,-0.08750000000000002,0.09836065573770492,0.8125,0.45543032786885246,0.10333333333333335,6
0,0,H&S [task-rel],0.1,split CP (SAFE),blocked,0.8152173913043479,0.9,-0.08478260869565213,0.25688073394495414,0.8152173913043479,0.536049062624651,0.09714285714285716,28
0,0,H&S [task-rel],0.1,ACI g=0.05 (grow cal),blocked,0.8913043478260869,0.9,-0.008695652173913104,0.11009174311926606,0.8913043478260869,0.5006980454726765,0.11333333333333336,12
0,0,H&S [task-rel],0.15,split CP (SAFE),exch,0.5625,0.85,-0.2875,0.22950819672131148,0.5625,0.39600409836065575,0.060000000000000005,14
0,0,H&S [task-rel],0.15,ACI g=0.05 (grow cal),exch,0.6875,0.85,-0.16249999999999998,0.16393442622950818,0.6875,0.4257172131147541,0.06799999999999999,10
0,0,H&S [task-rel],0.15,split CP (SAFE),blocked,0.7173913043478262,0.85,-0.1326086956521738,0.3302752293577982,0.7173913043478262,0.5238332668528122,0.08055555555555556,36
0,0,H&S [task-rel],0.15,ACI g=0.05 (grow cal),blocked,0.8152173913043479,0.85,-0.034782608695652084,0.21100917431192662,0.8152173913043479,0.5131132828081373,0.16869565217391308,23
0,0,H&S [task-rel],0.2,split CP (SAFE),exch,0.4375,0.8,-0.36250000000000004,0.39344262295081966,0.4375,0.41547131147540983,0.14583333333333334,24
0,0,H&S [task-rel],0.2,ACI g=0.05 (grow cal),exch,0.6875,0.8,-0.11250000000000004,0.3114754098360656,0.6875,0.4994877049180328,0.19789473684210526,19
0,0,H&S [task-rel],0.2,split CP (SAFE),blocked,0.5326086956521738,0.8,-0.2673913043478262,0.5412844036697247,0.5326086956521738,0.5369465496609493,0.16135593220338984,59
0,0,H&S [task-rel],0.2,ACI g=0.05 (grow cal),blocked,0.7608695652173914,0.8,-0.03913043478260869,0.27522935779816515,0.7608695652173914,0.5180494615077782,0.19399999999999998,30
0,0,H&S [task-rel],0.25,split CP (SAFE),exch,0.5625,0.75,-0.1875,0.39344262295081966,0.5625,0.47797131147540983,0.07333333333333335,24
0,0,H&S [task-rel],0.25,ACI g=0.05 (grow cal),exch,0.625,0.75,-0.125,0.29508196721311475,0.625,0.4600409836065574,0.07111111111111111,18
0,0,H&S [task-rel],0.25,split CP (SAFE),blocked,0.42391304347826086,0.75,-0.32608695652173914,0.5871559633027523,0.42391304347826086,0.5055345033905065,0.1234375,64
0,0,H&S [task-rel],0.25,ACI g=0.05 (grow cal),blocked,0.7065217391304348,0.75,-0.04347826086956519,0.28440366972477066,0.7065217391304348,0.49546270442760276,0.07548387096774195,31
0,0,SAFE-Embed,0.1,split CP (SAFE),exch,0.875,0.9,-0.025000000000000022,0.39344262295081966,0.875,0.6342213114754098,0.5891666666666665,24
0,0,SAFE-Embed,0.1,ACI g=0.05 (grow cal),exch,0.875,0.9,-0.025000000000000022,0.32786885245901637,0.875,0.6014344262295082,0.623,20
0,0,SAFE-Embed,0.1,split CP (SAFE),blocked,0.04347826086956519,0.9,-0.8565217391304348,0.9908256880733946,0.04347826086956519,0.5171519744714799,0.4225925925925926,108
0,0,SAFE-Embed,0.1,ACI g=0.05 (grow cal),blocked,0.9021739130434783,0.9,0.0021739130434782483,0.45871559633027525,0.9021739130434783,0.6804447546868768,0.8959999999999998,50
0,0,SAFE-Embed,0.15,split CP (SAFE),exch,0.875,0.85,0.025000000000000022,0.5573770491803278,0.875,0.7161885245901639,0.5664705882352941,34
0,0,SAFE-Embed,0.15,ACI g=0.05 (grow cal),exch,0.875,0.85,0.025000000000000022,0.5245901639344263,0.875,0.6997950819672132,0.57875,32
0,0,SAFE-Embed,0.15,split CP (SAFE),blocked,0.0,0.85,-0.85,1.0,0.0,0.5,0.2704587155963302,109
0,0,SAFE-Embed,0.15,ACI g=0.05 (grow cal),blocked,0.8478260869565217,0.85,-0.0021739130434782483,0.5321100917431193,0.8478260869565217,0.6899680893498206,0.8200000000000001,58
0,0,SAFE-Embed,0.2,split CP (SAFE),exch,0.875,0.8,0.07499999999999996,0.5901639344262295,0.875,0.7325819672131147,0.5594444444444443,36
0,0,SAFE-Embed,0.2,ACI g=0.05 (grow cal),exch,0.875,0.8,0.07499999999999996,0.6065573770491803,0.875,0.7407786885245902,0.5313513513513514,37
0,0,SAFE-Embed,0.2,split CP (SAFE),blocked,0.0,0.8,-0.8,1.0,0.0,0.5,0.25871559633027524,109
0,0,SAFE-Embed,0.2,ACI g=0.05 (grow cal),blocked,0.7934782608695652,0.8,-0.006521739130434856,0.5779816513761468,0.7934782608695652,0.685729956122856,0.8047619047619049,63
0,0,SAFE-Embed,0.25,split CP (SAFE),exch,0.875,0.75,0.125,0.6721311475409836,0.875,0.7735655737704918,0.56,41
0,0,SAFE-Embed,0.25,ACI g=0.05 (grow cal),exch,0.8125,0.75,0.0625,0.6721311475409836,0.8125,0.7423155737704918,0.5151219512195122,41
0,0,SAFE-Embed,0.25,split CP (SAFE),blocked,0.0,0.75,-0.75,1.0,0.0,0.5,0.23871559633027523,109
0,0,SAFE-Embed,0.25,ACI g=0.05 (grow cal),blocked,0.7391304347826086,0.75,-0.010869565217391353,0.6238532110091743,0.7391304347826086,0.6814918228958915,0.8188235294117646,68
0,0,SAFE-Embed [task-rel],0.1,split CP (SAFE),exch,0.8125,0.9,-0.08750000000000002,0.18032786885245902,0.8125,0.4964139344262295,0.07090909090909091,11
0,0,SAFE-Embed [task-rel],0.1,ACI g=0.05 (grow cal),exch,0.875,0.9,-0.025000000000000022,0.13114754098360656,0.875,0.5030737704918032,0.07250000000000001,8
0,0,SAFE-Embed [task-rel],0.1,split CP (SAFE),blocked,0.9891304347826086,0.9,0.08913043478260863,0.027522935779816515,0.9891304347826086,0.5083266852812126,0.06666666666666667,3
0,0,SAFE-Embed [task-rel],0.1,ACI g=0.05 (grow cal),blocked,0.9239130434782609,0.9,0.023913043478260843,0.1651376146788991,0.9239130434782609,0.54452532907858,0.08222222222222222,18
0,0,SAFE-Embed [task-rel],0.15,split CP (SAFE),exch,0.75,0.85,-0.09999999999999998,0.3114754098360656,0.75,0.5307377049180328,0.3210526315789474,19
0,0,SAFE-Embed [task-rel],0.15,ACI g=0.05 (grow cal),exch,0.75,0.85,-0.09999999999999998,0.2786885245901639,0.75,0.514344262295082,0.351764705882353,17
0,0,SAFE-Embed [task-rel],0.15,split CP (SAFE),blocked,0.9782608695652174,0.85,0.12826086956521743,0.045871559633027525,0.9782608695652174,0.5120662145991225,0.256,5
0,0,SAFE-Embed [task-rel],0.15,ACI g=0.05 (grow cal),blocked,0.8478260869565217,0.85,-0.0021739130434782483,0.22018348623853212,0.8478260869565217,0.5340047865975269,0.22083333333333335,24
0,0,SAFE-Embed [task-rel],0.2,split CP (SAFE),exch,0.625,0.8,-0.17500000000000004,0.32786885245901637,0.625,0.47643442622950816,0.244,20
0,0,SAFE-Embed [task-rel],0.2,ACI g=0.05 (grow cal),exch,0.6875,0.8,-0.11250000000000004,0.32786885245901637,0.6875,0.5076844262295082,0.28300000000000003,20
0,0,SAFE-Embed [task-rel],0.2,split CP (SAFE),blocked,0.9565217391304348,0.8,0.15652173913043477,0.10091743119266056,0.9565217391304348,0.5287195851615477,0.16545454545454547,11
0,0,SAFE-Embed [task-rel],0.2,ACI g=0.05 (grow cal),blocked,0.8043478260869565,0.8,0.004347826086956497,0.28440366972477066,0.8043478260869565,0.5443757479058636,0.2670967741935484,31
0,0,SAFE-Embed [task-rel],0.25,split CP (SAFE),exch,0.625,0.75,-0.125,0.6229508196721312,0.625,0.6239754098360656,0.3531578947368421,38
0,0,SAFE-Embed [task-rel],0.25,ACI g=0.05 (grow cal),exch,0.625,0.75,-0.125,0.5573770491803278,0.625,0.5911885245901639,0.3564705882352941,34
