fold,seed,detector,frac,auroc
0,0,SAFE-MLP,0.1,0.5766852812126048
0,0,SAFE-MLP,0.2,0.5766852812126048
0,0,SAFE-MLP,0.3,0.581970482648584
0,0,SAFE-MLP,0.4,0.5945353011567611
0,0,SAFE-MLP,0.5,0.632828081372158
0,0,SAFE-MLP,0.6,0.6716194654966094
0,0,SAFE-MLP,0.7,0.6969485440765856
0,0,SAFE-MLP,0.8,0.7323494216194655
0,0,SAFE-MLP,0.9,0.7542879936178699
0,0,SAFE-MLP,1.0,0.7733346629437575
0,0,SAFE-MLP [task-rel],0.1,0.45382927802153966
0,0,SAFE-MLP [task-rel],0.2,0.4588153171120862
0,0,SAFE-MLP [task-rel],0.3,0.4442560829676905
0,0,SAFE-MLP [task-rel],0.4,0.447746310331073
0,0,SAFE-MLP [task-rel],0.5,0.47138013562026326
0,0,SAFE-MLP [task-rel],0.6,0.5073793378540088
0,0,SAFE-MLP [task-rel],0.7,0.5080773833266853
0,0,SAFE-MLP [task-rel],0.8,0.5171519744714799
0,0,SAFE-MLP [task-rel],0.9,0.5259274032708416
0,0,SAFE-MLP [task-rel],1.0,0.5370961308336657
0,0,H&S,0.1,0.543677702433187
0,0,H&S,0.2,0.48853211009174313
0,0,H&S,0.3,0.4984044674910251
0,0,H&S,0.4,0.5235341045073794
0,0,H&S,0.5,0.5944355803749501
0,0,H&S,0.6,0.6229557239728759
0,0,H&S,0.7,0.6784004786597527
0,0,H&S,0.8,0.7190865576386118
0,0,H&S,0.9,0.730155564419625
0,0,H&S,1.0,0.7352413242919824
0,0,H&S [task-rel],0.1,0.49950139609094535
0,0,H&S [task-rel],0.2,0.48853211009174313
0,0,H&S [task-rel],0.3,0.47975668129238136
0,0,H&S [task-rel],0.4,0.4999002792181891
0,0,H&S [task-rel],0.5,0.5562425209413642
0,0,H&S [task-rel],0.6,0.569106501794974
0,0,H&S [task-rel],0.7,0.6022138013562026
0,0,H&S [task-rel],0.8,0.6146788990825688
0,0,H&S [task-rel],0.9,0.6133825289190267
0,0,H&S [task-rel],1.0,0.6174710809732749
0,0,SAFE-Embed,0.1,0.46729158356601513
0,0,SAFE-Embed,0.2,0.44305943358595934
0,0,SAFE-Embed,0.3,0.4626047068209015
0,0,SAFE-Embed,0.4,0.4845432788193059
0,0,SAFE-Embed,0.5,0.5338053450339051
0,0,SAFE-Embed,0.6,0.5962305544475469
0,0,SAFE-Embed,0.7,0.6536697247706422
0,0,SAFE-Embed,0.8,0.6907658556043079
0,0,SAFE-Embed,0.9,0.7285600319106502
0,0,SAFE-Embed,1.0,0.7722377343438372
0,0,SAFE-Embed [task-rel],0.1,0.4359792580773833
0,0,SAFE-Embed [task-rel],0.2,0.4664938173115277
0,0,SAFE-Embed [task-rel],0.3,0.5320103709613083
0,0,SAFE-Embed [task-rel],0.4,0.5561428001595532
0,0,SAFE-Embed [task-rel],0.5,0.600219385719984
0,0,SAFE-Embed [task-rel],0.6,0.6533705624252094
0,0,SAFE-Embed [task-rel],0.7,0.7001396090945353
0,0,SAFE-Embed [task-rel],0.8,0.7258675708017551
0,0,SAFE-Embed [task-rel],0.9,0.7468089349820503
0,0,SAFE-Embed [task-rel],1.0,0.7708416433984843
0,0,hand:cum_mean_token_entropy,0.1,0.4681890706023135
0,0,hand:cum_mean_token_entropy,0.2,0.4779617072197846
