fold,seed,detector,k,auroc,coverage,cov_gap
0,0,SAFE-MLP,5,0.481651376146789,0.7717391304347826,-0.02826086956521745
0,0,SAFE-MLP,8,0.49655963302752293,0.75,-0.050000000000000044
0,0,SAFE-MLP,10,0.5370961308336657,0.9347826086956522,0.13478260869565217
0,0,SAFE-MLP,15,0.5613282808137215,0.7934782608695652,-0.006521739130434856
0,0,SAFE-MLP,20,0.5871559633027523,0.782608695652174,-0.017391304347826098
0,0,H&S,5,0.614379736737136,0.5652173913043479,-0.23478260869565215
0,0,H&S,8,0.6112883925009972,0.6847826086956521,-0.11521739130434794
0,0,H&S,10,0.6174710809732749,0.5326086956521738,-0.2673913043478262
0,0,H&S,15,0.6613482249700837,0.48913043478260865,-0.3108695652173914
0,0,H&S,20,0.6548663741523734,0.5543478260869565,-0.2456521739130435
0,0,SAFE-Embed,5,0.7236737136019147,0.9782608695652174,0.17826086956521736
0,0,SAFE-Embed,8,0.7624650977263662,0.8804347826086957,0.08043478260869563
0,0,SAFE-Embed,10,0.7708416433984843,0.9565217391304348,0.15652173913043477
0,0,SAFE-Embed,15,0.7734343837255684,0.7717391304347826,-0.02826086956521745
0,0,SAFE-Embed,20,0.7778220981252493,0.8152173913043479,0.01521739130434785
0,1,SAFE-MLP,5,0.4771140805743917,0.8586956521739131,0.05869565217391304
0,1,SAFE-MLP,8,0.5003490227363383,0.8260869565217391,0.02608695652173909
0,1,SAFE-MLP,10,0.5062824092540885,0.7391304347826086,-0.0608695652173914
0,1,SAFE-MLP,15,0.518348623853211,0.6413043478260869,-0.15869565217391313
0,1,SAFE-MLP,20,0.5658157159952134,0.6086956521739131,-0.19130434782608696
0,1,H&S,5,0.6155763861188672,0.23913043478260865,-0.5608695652173914
0,1,H&S,8,0.6189668927004388,0.5652173913043479,-0.23478260869565215
0,1,H&S,10,0.6177702433187077,0.4565217391304348,-0.34347826086956523
0,1,H&S,15,0.6159752692461109,0.6086956521739131,-0.19130434782608696
0,1,H&S,20,0.5933386517750299,0.48913043478260865,-0.3108695652173914
0,1,SAFE-Embed,5,0.7318508177104108,0.9239130434782609,0.12391304347826082
0,1,SAFE-Embed,8,0.7701435979258078,0.9021739130434783,0.10217391304347823
0,1,SAFE-Embed,10,0.7815117670522537,0.9891304347826086,0.1891304347826086
0,1,SAFE-Embed,15,0.7745313123254887,0.8478260869565217,0.047826086956521685
0,1,SAFE-Embed,20,0.7770243318707619,0.8804347826086957,0.08043478260869563
1,0,SAFE-MLP,5,0.5506450071667462,0.9456521739130435,0.14565217391304341
1,0,SAFE-MLP,8,0.5903010033444817,0.9347826086956522,0.13478260869565217
1,0,SAFE-MLP,10,0.6002150023889155,0.9347826086956522,0.13478260869565217
1,0,SAFE-MLP,15,0.5806258958432872,0.8804347826086957,0.08043478260869563
1,0,SAFE-MLP,20,0.6221930243669375,0.8369565217391304,0.03695652173913033
1,0,H&S,5,0.6213569039655996,0.48913043478260865,-0.3108695652173914
1,0,H&S,8,0.6501433349259437,0.5,-0.30000000000000004
1,0,H&S,10,0.615145723841376,0.5217391304347826,-0.27826086956521745
1,0,H&S,15,0.555303392259914,0.46739130434782605,-0.332608695652174
1,0,H&S,20,0.5237697085523172,0.5217391304347826,-0.27826086956521745
1,0,SAFE-Embed,5,0.5562589584328714,0.8369565217391304,0.03695652173913033
1,0,SAFE-Embed,8,0.5684424271380794,0.8043478260869565,0.004347826086956497
1,0,SAFE-Embed,10,0.608337314859054,0.8369565217391304,0.03695652173913033
1,0,SAFE-Embed,15,0.6725991399904443,0.7934782608695652,-0.006521739130434856
1,0,SAFE-Embed,20,0.6952938365981844,0.782608695652174,-0.017391304347826098
1,1,SAFE-MLP,5,0.5862398471094123,0.8152173913043479,0.01521739130434785
1,1,SAFE-MLP,8,0.5998566650740563,0.7173913043478262,-0.08260869565217388
1,1,SAFE-MLP,10,0.5971094123268036,0.8260869565217391,0.02608695652173909
1,1,SAFE-MLP,15,0.6305542283803154,0.6413043478260869,-0.15869565217391313
1,1,SAFE-MLP,20,0.6370043000477783,0.8695652173913043,0.06956521739130428
1,1,H&S,5,0.6071428571428571,0.32608695652173914,-0.4739130434782609
1,1,H&S,8,0.6084567606306737,0.44565217391304346,-0.3543478260869566
1,1,H&S,10,0.590181557572862,0.48913043478260865,-0.3108695652173914
1,1,H&S,15,0.5757286192068801,0.3913043478260869,-0.4086956521739131
1,1,H&S,20,0.5942427138079311,0.5217391304347826,-0.27826086956521745
1,1,SAFE-Embed,5,0.5342809364548495,0.6847826086956521,-0.11521739130434794
1,1,SAFE-Embed,8,0.570831342570473,0.8369565217391304,0.03695652173913033
