fold,seed,detector,task,auroc,n
0,0,SAFE-MLP,-1,0.7733346629437575,201
0,0,SAFE-MLP,0,0.6399583766909469,62
0,0,SAFE-MLP,1,0.9088888888888889,60
0,0,SAFE-MLP,4,0.9260752688172043,79
0,0,SAFE-MLP [task-rel],-1,0.5370961308336657,201
0,0,SAFE-MLP [task-rel],0,0.43600416233090533,62
0,0,SAFE-MLP [task-rel],1,0.7811111111111111,60
0,0,SAFE-MLP [task-rel],4,0.508736559139785,79
0,0,H&S,-1,0.7352413242919824,201
0,0,H&S,0,0.5494276795005203,62
0,0,H&S,1,0.8266666666666667,60
0,0,H&S,4,0.8763440860215054,79
0,0,H&S [task-rel],-1,0.6174710809732749,201
0,0,H&S [task-rel],0,0.4255983350676379,62
0,0,H&S [task-rel],1,0.8566666666666667,60
0,0,H&S [task-rel],4,0.5752688172043011,79
0,0,SAFE-Embed,-1,0.7722377343438372,201
0,0,SAFE-Embed,0,0.7211238293444329,62
0,0,SAFE-Embed,1,0.8188888888888889,60
0,0,SAFE-Embed,4,0.855510752688172,79
0,0,SAFE-Embed [task-rel],-1,0.7708416433984843,201
0,0,SAFE-Embed [task-rel],0,0.6389177939646202,62
0,0,SAFE-Embed [task-rel],1,0.9233333333333333,60
0,0,SAFE-Embed [task-rel],4,0.8151881720430108,79
0,0,hand:cum_mean_token_entropy,-1,0.5839648982848026,201
0,0,hand:cum_mean_token_entropy,0,0.5067637877211238,62
0,0,hand:cum_mean_token_entropy,1,0.48333333333333334,60
0,0,hand:cum_mean_token_entropy,4,0.7936827956989247,79
0,0,hand:cum_mean_token_entropy [task-rel],-1,0.5666134822497009,201
0,0,hand:cum_mean_token_entropy [task-rel],0,0.5192507804370448,62
0,0,hand:cum_mean_token_entropy [task-rel],1,0.7055555555555556,60
0,0,hand:cum_mean_token_entropy [task-rel],4,0.49798387096774194,79
0,0,hand:mean_token_entropy,-1,0.5031910650179497,201
0,0,hand:mean_token_entropy,0,0.43912591050988553,62
0,0,hand:mean_token_entropy,1,0.63,60
0,0,hand:mean_token_entropy,4,0.47647849462365593,79
0,0,hand:mean_token_entropy [task-rel],-1,0.49770642201834864,201
0,0,hand:mean_token_entropy [task-rel],0,0.449531737773153,62
0,0,hand:mean_token_entropy [task-rel],1,0.6033333333333334,60
0,0,hand:mean_token_entropy [task-rel],4,0.4327956989247312,79
0,0,hand:cum_max_token_entropy,-1,0.5755883526126845,201
0,0,hand:cum_max_token_entropy,0,0.4755463059313215,62
0,0,hand:cum_max_token_entropy,1,0.44222222222222224,60
0,0,hand:cum_max_token_entropy,4,0.7956989247311828,79
0,0,hand:cum_max_token_entropy [task-rel],-1,0.45941364180295174,201
0,0,hand:cum_max_token_entropy [task-rel],0,0.36524453694068676,62
0,0,hand:cum_max_token_entropy [task-rel],1,0.66,60
0,0,hand:cum_max_token_entropy [task-rel],4,0.38306451612903225,79
0,0,hand:cum_mean_token_prob,-1,0.5526525727961707,201
0,0,hand:cum_mean_token_prob,0,0.5057232049947971,62
0,0,hand:cum_mean_token_prob,1,0.6822222222222222,60
0,0,hand:cum_mean_token_prob,4,0.4603494623655914,79
0,0,hand:cum_mean_token_prob [task-rel],-1,0.548065416832868,201
0,0,hand:cum_mean_token_prob [task-rel],0,0.5026014568158168,62
0,0,hand:cum_mean_token_prob [task-rel],1,0.6177777777777778,60
0,0,hand:cum_mean_token_prob [task-rel],4,0.5255376344086021,79
0,0,hand:cum_dpos,-1,0.49137415237335463,201
0,0,hand:cum_dpos,0,0.568678459937565,62
0,0,hand:cum_dpos,1,0.43555555555555553,60
0,0,hand:cum_dpos,4,0.4334677419354839,79
0,0,hand:cum_dpos [task-rel],-1,0.5345033905065816,201
0,0,hand:cum_dpos [task-rel],0,0.5254942767950052,62
0,0,hand:cum_dpos [task-rel],1,0.8088888888888889,60
0,0,hand:cum_dpos [task-rel],4,0.3844086021505376,79
0,0,hand:cum_drot,-1,0.4808037495013961,201
0,0,hand:cum_drot,0,0.5697190426638917,62
0,0,hand:cum_drot,1,0.3488888888888889,60
0,0,hand:cum_drot,4,0.40524193548387094,79
0,0,hand:cum_drot [task-rel],-1,0.5138611886717191,201
0,0,hand:cum_drot [task-rel],0,0.554630593132154,62
0,0,hand:cum_drot [task-rel],1,0.6933333333333334,60
0,0,hand:cum_drot [task-rel],4,0.38911290322580644,79
0,0,hand:dgripper,-1,0.5,201
0,0,hand:dgripper,0,0.5,62
0,0,hand:dgripper,1,0.5,60
0,0,hand:dgripper,4,0.5,79
0,0,hand:dgripper [task-rel],-1,0.5347526924611089,201
0,0,hand:dgripper [task-rel],0,0.5312174817898023,62
0,0,hand:dgripper [task-rel],1,0.5338888888888889,60
0,0,hand:dgripper [task-rel],4,0.5416666666666666,79
0,1,SAFE-MLP,-1,0.7843039489429597,201
0,1,SAFE-MLP,0,0.708636836628512,62
0,1,SAFE-MLP,1,0.9388888888888889,60
0,1,SAFE-MLP,4,0.9260752688172043,79
0,1,SAFE-MLP [task-rel],-1,0.5062824092540885,201
0,1,SAFE-MLP [task-rel],0,0.5900104058272633,62
0,1,SAFE-MLP [task-rel],1,0.7088888888888889,60
0,1,SAFE-MLP [task-rel],4,0.385752688172043,79
0,1,H&S,-1,0.6685281212604707,201
0,1,H&S,0,0.54630593132154,62
0,1,H&S,1,0.74,60
0,1,H&S,4,0.7432795698924731,79
0,1,H&S [task-rel],-1,0.6177702433187077,201
0,1,H&S [task-rel],0,0.5681581685744017,62
0,1,H&S [task-rel],1,0.7677777777777778,60
0,1,H&S [task-rel],4,0.5497311827956989,79
0,1,SAFE-Embed,-1,0.7680494615077782,201
0,1,SAFE-Embed,0,0.7232049947970863,62
0,1,SAFE-Embed,1,0.8011111111111111,60
0,1,SAFE-Embed,4,0.8366935483870968,79
0,1,SAFE-Embed [task-rel],-1,0.7815117670522537,201
0,1,SAFE-Embed [task-rel],0,0.6618106139438086,62
0,1,SAFE-Embed [task-rel],1,0.9166666666666666,60
0,1,SAFE-Embed [task-rel],4,0.8487903225806451,79
0,1,hand:cum_mean_token_entropy,-1,0.5839648982848026,201
0,1,hand:cum_mean_token_entropy,0,0.5067637877211238,62
0,1,hand:cum_mean_token_entropy,1,0.48333333333333334,60
0,1,hand:cum_mean_token_entropy,4,0.7936827956989247,79
0,1,hand:cum_mean_token_entropy [task-rel],-1,0.5666134822497009,201
0,1,hand:cum_mean_token_entropy [task-rel],0,0.5192507804370448,62
0,1,hand:cum_mean_token_entropy [task-rel],1,0.7055555555555556,60
0,1,hand:cum_mean_token_entropy [task-rel],4,0.49798387096774194,79
0,1,hand:mean_token_entropy,-1,0.4094535301156761,201
0,1,hand:mean_token_entropy,0,0.5067637877211238,62
0,1,hand:mean_token_entropy,1,0.5644444444444444,60
0,1,hand:mean_token_entropy,4,0.17876344086021506,79
0,1,hand:mean_token_entropy [task-rel],-1,0.4762664539289988,201
0,1,hand:mean_token_entropy [task-rel],0,0.47762747138397504,62
0,1,hand:mean_token_entropy [task-rel],1,0.4666666666666667,60
0,1,hand:mean_token_entropy [task-rel],4,0.4825268817204301,79
0,1,hand:cum_max_token_entropy,-1,0.5755883526126845,201
0,1,hand:cum_max_token_entropy,0,0.4755463059313215,62
0,1,hand:cum_max_token_entropy,1,0.44222222222222224,60
0,1,hand:cum_max_token_entropy,4,0.7956989247311828,79
0,1,hand:cum_max_token_entropy [task-rel],-1,0.45941364180295174,201
0,1,hand:cum_max_token_entropy [task-rel],0,0.36524453694068676,62
0,1,hand:cum_max_token_entropy [task-rel],1,0.66,60
0,1,hand:cum_max_token_entropy [task-rel],4,0.38306451612903225,79
0,1,hand:cum_mean_token_prob,-1,0.5526525727961707,201
0,1,hand:cum_mean_token_prob,0,0.5057232049947971,62
0,1,hand:cum_mean_token_prob,1,0.6822222222222222,60
0,1,hand:cum_mean_token_prob,4,0.4603494623655914,79
0,1,hand:cum_mean_token_prob [task-rel],-1,0.548065416832868,201
0,1,hand:cum_mean_token_prob [task-rel],0,0.5026014568158168,62
0,1,hand:cum_mean_token_prob [task-rel],1,0.6177777777777778,60
0,1,hand:cum_mean_token_prob [task-rel],4,0.5255376344086021,79
0,1,hand:cum_dpos,-1,0.49137415237335463,201
0,1,hand:cum_dpos,0,0.568678459937565,62
0,1,hand:cum_dpos,1,0.43555555555555553,60
0,1,hand:cum_dpos,4,0.4334677419354839,79
0,1,hand:cum_dpos [task-rel],-1,0.5345033905065816,201
0,1,hand:cum_dpos [task-rel],0,0.5254942767950052,62
0,1,hand:cum_dpos [task-rel],1,0.8088888888888889,60
0,1,hand:cum_dpos [task-rel],4,0.3844086021505376,79
0,1,hand:cum_drot,-1,0.5997207818109294,201
0,1,hand:cum_drot,0,0.5379812695109261,62
0,1,hand:cum_drot,1,0.7077777777777777,60
0,1,hand:cum_drot,4,0.739247311827957,79
0,1,hand:cum_drot [task-rel],-1,0.5611288392500997,201
0,1,hand:cum_drot [task-rel],0,0.6462018730489074,62
0,1,hand:cum_drot [task-rel],1,0.5077777777777778,60
0,1,hand:cum_drot [task-rel],4,0.5645161290322581,79
0,1,hand:dgripper,-1,0.4908256880733945,201
0,1,hand:dgripper,0,0.46774193548387094,62
0,1,hand:dgripper,1,0.5,60
0,1,hand:dgripper,4,0.5,79
0,1,hand:dgripper [task-rel],-1,0.47960710011966495,201
0,1,hand:dgripper [task-rel],0,0.43912591050988553,62
