detector,method,coverage,coverage_sd,gap,tpr,bal_acc,det_time
SAFE-MLP,split CP (SAFE),0.7099956203217074,0.14754933077705917,-0.09000437967829274,0.6247867988908263,0.6673912096062669,0.5079682010912981
SAFE-MLP,split CP (n+1 corr.),0.7716794075489727,0.15020427644295817,-0.028320592451027277,0.5877794593611908,0.6797294334550817,0.5750086410634685
SAFE-MLP,ACI g=0.005,0.748944895684026,0.08992516253346036,-0.051055104315973904,0.6063865216468404,0.6776657086654333,0.5340915052545068
SAFE-MLP,ACI g=0.01,0.759824414715719,0.08172119588913929,-0.04017558528428095,0.6077902867094322,0.6838073507125757,0.5503582629513237
SAFE-MLP,ACI g=0.05,0.7753025959547699,0.07629923761270699,-0.024697404045230204,0.602998914687672,0.6891507553212209,0.5735157176596277
SAFE-MLP,ACI g=0.05 (grow cal),0.8169792164357382,0.02853716155965147,0.016979216435738128,0.5760624398568227,0.6965208281462805,0.6125428627990014
SAFE-MLP,DtACI,0.7279622551361681,0.08075079487877786,-0.07203774486383181,0.6304883184201088,0.6792252867781386,0.5160895774561592
SAFE-MLP,DtACI (grow cal),0.7724259436215958,0.041986293115932764,-0.027574056378404252,0.6141747361283598,0.6933003398749777,0.5725160085190818
SAFE-Embed,split CP (SAFE),0.0009157509157509083,0.003172254226316599,-0.7990842490842492,0.9957107843137255,0.4983132676147382,0.10859093600640957
SAFE-Embed,split CP (n+1 corr.),0.007326007326007307,0.013526537470256327,-0.7926739926739929,0.9841757823819183,0.4957508948539628,0.16782473472342815
SAFE-Embed,ACI g=0.005,0.15467232043318996,0.13601941467085377,-0.64532767956681,0.9018502786277435,0.5282612995304666,0.42755687048816543
SAFE-Embed,ACI g=0.01,0.2211040770823379,0.18886953943560722,-0.5788959229176621,0.8573044858076587,0.5392042814449982,0.49687890857188277
SAFE-Embed,ACI g=0.05,0.2885809842331581,0.22420924414460494,-0.5114190157668418,0.8356133847450352,0.5620971844890966,0.5243826856581806
SAFE-Embed,ACI g=0.05 (grow cal),0.7741280458671764,0.017670635712676935,-0.025871954132823713,0.552214791356642,0.6631714186119092,0.7247363486658506
SAFE-Embed,DtACI,0.21476349737219294,0.15822439942434163,-0.5852365026278069,0.8678716989375266,0.5413175981548597,0.5125664205667478
SAFE-Embed,DtACI (grow cal),0.6392737697085522,0.05112766121661724,-0.1607262302914477,0.6319424832693158,0.635608126488934,0.6941252439844767
H&S inter+intra,split CP (SAFE),0.566790093964007,0.14413741671817143,-0.233209906035993,0.6185005875175125,0.5926453407407598,0.42362021866279737
H&S inter+intra,split CP (n+1 corr.),0.6560459468068164,0.1646243432420394,-0.14395405319318363,0.5333190049679619,0.5946824758873892,0.43625221523166924
H&S inter+intra,ACI g=0.005,0.6433050645007167,0.12134977639417957,-0.15669493549928334,0.530760331777322,0.5870326981390193,0.4192629250726383
H&S inter+intra,ACI g=0.01,0.694228778467909,0.08513668557288195,-0.10577122153209113,0.4738139387967486,0.5840213586323287,0.42713249103243206
H&S inter+intra,ACI g=0.05,0.7597149227584011,0.055392695364001904,-0.04028507724159901,0.41408957390904183,0.5869022483337214,0.4155502321736418
H&S inter+intra,ACI g=0.05 (grow cal),0.7969421882465362,0.01903332092385208,-0.003057811753463967,0.3753336546820319,0.586137921464284,0.41455297256845064
H&S inter+intra,DtACI,0.6860566969262621,0.08558050017766095,-0.11394330307373786,0.48805430797267196,0.5870555024494669,0.4235469244241019
H&S inter+intra,DtACI (grow cal),0.7596551998725912,0.03319537009716266,-0.040344800127408834,0.4075137490873506,0.5835844744799709,0.424382588289605
