detector,method,coverage,coverage_sd,gap,tpr,bal_acc,det_time
SAFE-MLP,split CP (SAFE),0.7921160130718953,0.12851349212486146,-0.007883986928104617,0.7383331894567604,0.765224601264328,0.5057462444962445
SAFE-MLP,split CP (n+1 corr.),0.8400326797385621,0.14154180104490238,0.040032679738562026,0.7020204774540195,0.7710265785962909,0.5579977149108881
SAFE-MLP,ACI g=0.005,0.786907679738562,0.1260927238330618,-0.01309232026143795,0.7383331894567604,0.7626204345976614,0.5046574157324157
SAFE-MLP,ACI g=0.01,0.786907679738562,0.1260927238330618,-0.01309232026143795,0.7383331894567604,0.7626204345976614,0.5013069407444406
SAFE-MLP,ACI g=0.05,0.7921160130718953,0.11693933712492874,-0.007883986928104611,0.7377604995853746,0.7649382563286351,0.4873147989099383
SAFE-MLP,ACI g=0.05 (grow cal),0.7754901960784313,0.0885043679032506,-0.024509803921568665,0.7325502520523898,0.7540202240654105,0.49457092671200775
SAFE-MLP,DtACI,0.7816993464052286,0.11748783850952235,-0.018300653594771284,0.7413063096529239,0.7615028280290762,0.48274781815970846
SAFE-MLP,DtACI (grow cal),0.7699346405228757,0.08425095944771696,-0.03006535947712422,0.7445090892495178,0.7572218648861968,0.4793795495494104
SAFE-Embed,split CP (SAFE),0.7751021241830065,0.109750664403338,-0.024897875816993504,0.6048995359057694,0.6900008300443878,0.4672192868350494
SAFE-Embed,split CP (n+1 corr.),0.8272671568627451,0.10367950595633325,0.027267156862745025,0.5240137641094712,0.675640460486108,0.5024003991253352
SAFE-Embed,ACI g=0.005,0.7751021241830065,0.109750664403338,-0.024897875816993504,0.602349901345781,0.6887260127643938,0.4760865569840767
SAFE-Embed,ACI g=0.01,0.7855596405228757,0.09668671909851702,-0.014440359477124229,0.6040596489541478,0.6948096447385118,0.47991801017046104
SAFE-Embed,ACI g=0.05,0.7907679738562091,0.08449304019304468,-0.009232026143790897,0.5750800839865066,0.682924028921358,0.4766560192186127
SAFE-Embed,ACI g=0.05 (grow cal),0.7911151960784313,0.06945705317885463,-0.008884803921568676,0.5645524725249732,0.6778338343017022,0.48568124401319296
SAFE-Embed,DtACI,0.7855596405228757,0.09668671909851702,-0.014440359477124229,0.6044246315489387,0.6949921360359074,0.4692697381949092
SAFE-Embed,DtACI (grow cal),0.7806985294117647,0.09950734111130931,-0.019301470588235337,0.5877116000319268,0.6842050647218456,0.47707494470088885
H&S inter+intra,split CP (SAFE),0.7693218954248366,0.1514626139865049,-0.030678104575163446,0.549857465614146,0.6595896805194912,0.47480724051878015
H&S inter+intra,split CP (n+1 corr.),0.8161968954248366,0.13756059423162437,0.016196895424836544,0.47409073256795636,0.6451438139963965,0.4747632096744672
H&S inter+intra,ACI g=0.005,0.7641135620915033,0.1461346278068294,-0.03588643790849678,0.5483329546455865,0.6562232583685448,0.4776298109919798
H&S inter+intra,ACI g=0.01,0.7693218954248366,0.13667318610196133,-0.030678104575163446,0.5446378841219156,0.6569798897733761,0.4713768239579583
H&S inter+intra,ACI g=0.05,0.7689746732026145,0.10064156778471654,-0.031025326797385653,0.534362504214473,0.6516685887085436,0.4558826035501882
H&S inter+intra,ACI g=0.05 (grow cal),0.77453022875817,0.07358193744335981,-0.02546977124183009,0.5494573591849201,0.6619937939715449,0.44608578801773174
H&S inter+intra,DtACI,0.7481413398692811,0.1011146124810535,-0.05185866013071897,0.5624262018358853,0.655283770852583,0.45316414906122265
H&S inter+intra,DtACI (grow cal),0.75890522875817,0.0796199580857928,-0.04109477124183009,0.563033108254101,0.6609691685061354,0.4515163763362792
