,,,,smear_auc,smear_auc,post_auc,post_auc,bal_acc,bal_acc,onset_err,onset_err,early_fire_rate,early_fire_rate
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
variant,agg,loss,split,,,,,,,,,,
H&S inter only,none,inter,val_seen,0.5127061458440841,0.017139861495592677,0.7017872718458807,0.3372153968143685,0.7386405236977419,0.24591970337314545,-0.10041701668216134,0.4142638075854036,0.06172102056785156,0.04239990881963555
H&S inter only,none,inter,val_unseen,0.4940991721318953,0.04119847637190527,0.6331378713258521,0.2868869888589327,0.5962353589584278,0.09043944755142504,-0.18031504518649275,0.31640667031131076,0.18734855804685405,0.1348192958926011
H&S inter+intra,none,hns,val_seen,0.5135951398191935,0.026142501911292308,0.8971103197922465,0.006654264099181965,0.8795222725240331,0.004428780133786436,0.13120040956812118,0.03821370208294284,0.01570767195767196,0.0156256561128727
H&S inter+intra,none,hns,val_unseen,0.5178179856711739,0.04131504145083051,0.7918304173649434,0.024014537091974455,0.6753232227134682,0.04216433498282917,0.05018693268041908,0.11460089569507044,0.20011257498728263,0.0999762575685376
"H&S inter+intra, cumsum",cumsum,hns,val_seen,0.5220517110142308,0.052214723319526944,0.8135753810139663,0.026608035863365853,0.8772161906624935,0.008904666734250668,0.20582426740281545,0.006876287033655524,0.01468067665250764,0.014122308353660202
"H&S inter+intra, cumsum",cumsum,hns,val_unseen,0.5211877276109338,0.03752794383799077,0.6779976031845111,0.024898390010397637,0.6253403428711086,0.08233187088468362,0.061959151538266886,0.07536333887004444,0.19689937180749073,0.0938349351384098
H&S intra only,none,intra,val_seen,0.4748107030995947,0.0036439977762694202,0.510742602562373,0.11900857894668969,0.5054683424621805,0.054441955434561186,0.19745065726424413,0.030985906358388077,0.005291005291005291,0.009164289987136916
H&S intra only,none,intra,val_unseen,0.5169119520103101,0.03334503620595239,0.5465567850461552,0.11721264432978885,0.5311125481943942,0.030261249162480415,0.1872055782041412,0.09683222382803036,0.03622115265950882,0.034046532097388595
"SAFE (cumsum, published)",cumsum,safe,val_seen,0.5370965640490795,0.052289461393468704,0.6584556014487043,0.05492601849126552,0.6584364986213577,0.030398642737205595,0.15621003990835772,0.01922586456914659,0.1208745528727923,0.02325890411728936
"SAFE (cumsum, published)",cumsum,safe,val_unseen,0.484096462540224,0.06320526643055674,0.5927406025277296,0.019953678032453567,0.571728773481834,0.050561385418286246,0.15864477060242613,0.10798256534018874,0.0857571570902677,0.06240473250243087
SAFE + time weighting,cumsum,safe,val_seen,0.5142556688611415,0.04376449553075402,0.6417697948494135,0.08642965210036722,0.6534942292644758,0.1038402036277245,0.03983117017233118,0.12206527614439666,0.18661156755346897,0.07731682362329946
SAFE + time weighting,cumsum,safe,val_unseen,0.5070904564201415,0.03301600912394109,0.5869852478282539,0.0636872647729576,0.539349595404675,0.06983646839569173,-0.029383620553853938,0.15898817105233984,0.23048374134241156,0.1325222959733048
"SAFE loss, no cumsum",none,safe,val_seen,0.533839707855314,0.04483052441309165,0.8910394782387386,0.005791793111653632,0.8034361260153514,0.08187436923456975,0.003076688242350355,0.0660064613031583,0.19446074595722482,0.0742470809916805
"SAFE loss, no cumsum",none,safe,val_unseen,0.5036953771509562,0.027016672789195575,0.8014178768828039,0.03970889479070889,0.6138512554625617,0.03878801920670988,-0.056822876311550134,0.22434324040797432,0.20914265418107716,0.22696572505577267
